country,UN_regional_group
Algeria ,African states
Angola ,African states
Benin ,African states
Botswana ,African states
Burkina Faso ,African states
Burundi ,African states
Cabo Verde ,African states
Cameroon ,African states
Central African Republic ,African states
Chad ,African states
Comoros ,African states
Congo ,African states
Côte d'Ivoire ,African states
Democratic Republic of the Congo,African states
Djibouti ,African states
Egypt ,African states
Equatorial Guinea ,African states
Eritrea ,African states
Eswatini ,African states
Ethiopia ,African states
Gabon ,African states
Gambia ,African states
Ghana ,African states
Guinea ,African states
Guinea-Bissau ,African states
Kenya ,African states
Lesotho ,African states
Liberia ,African states
Libya ,African states
Madagascar ,African states
Malawi ,African states
Mali ,African states
Mauritania ,African states
Mauritius ,African states
Morocco ,African states
Mozambique ,African states
Namibia ,African states
Niger ,African states
Nigeria ,African states
Rwanda ,African states
Sao Tome and Principe ,African states
Senegal ,African states
Seychelles ,African states
Sierra Leone ,African states
Somalia ,African states
South Africa ,African states
South Sudan ,African states
Sudan ,African states
Togo ,African states
Tunisia ,African states
Uganda ,African states
United Republic of Tanzania ,African states
Zambia ,African states
Zimbabwe ,African states
Afghanistan ,Asia-Pacific States
Bahrain ,Asia-Pacific States
Bangladesh ,Asia-Pacific States
Bhutan ,Asia-Pacific States
Brunei Darussalam ,Asia-Pacific States
Cambodia ,Asia-Pacific States
China ,Asia-Pacific States
Cyprus ,Asia-Pacific States
Democratic People's Republic of Korea ,Asia-Pacific States
Fiji ,Asia-Pacific States
India ,Asia-Pacific States
Indonesia ,Asia-Pacific States
Iran (Islamic Republic of) ,Asia-Pacific States
Iraq ,Asia-Pacific States
Japan ,Asia-Pacific States
Jordan ,Asia-Pacific States
Kazakhstan ,Asia-Pacific States
Kiribati,Asia-Pacific States
Kuwait,Asia-Pacific States
Kyrgyzstan ,Asia-Pacific States
Lao People's Democratic Republic ,Asia-Pacific States
Lebanon ,Asia-Pacific States
Malaysia ,Asia-Pacific States
Maldives ,Asia-Pacific States
Marshall Islands ,Asia-Pacific States
Micronesia (Federated States of) ,Asia-Pacific States
Mongolia ,Asia-Pacific States
Myanmar ,Asia-Pacific States
Nauru ,Asia-Pacific States
Nepal ,Asia-Pacific States
Oman ,Asia-Pacific States
Pakistan ,Asia-Pacific States
Palau ,Asia-Pacific States
Papua New Guinea ,Asia-Pacific States
Philippines ,Asia-Pacific States
Qatar ,Asia-Pacific States
Republic of Korea ,Asia-Pacific States
Samoa ,Asia-Pacific States
Saudi Arabia ,Asia-Pacific States
Singapore ,Asia-Pacific States
Solomon Islands ,Asia-Pacific States
Sri Lanka ,Asia-Pacific States
Syrian Arab Republic ,Asia-Pacific States
Tajikistan ,Asia-Pacific States
Thailand ,Asia-Pacific States
Timor-Leste ,Asia-Pacific States
Tonga ,Asia-Pacific States
Türkiye,Asia-Pacific States
Turkmenistan ,Asia-Pacific States
Tuvalu ,Asia-Pacific States
United Arab Emirates ,Asia-Pacific States
Uzbekistan ,Asia-Pacific States
Vanuatu ,Asia-Pacific States
Viet Nam ,Asia-Pacific States
Yemen ,Asia-Pacific States
Albania ,Eastern European States
Armenia ,Eastern European States
Azerbaijan ,Eastern European States
Belarus ,Eastern European States
Bosnia and Herzegovina ,Eastern European States
Bulgaria ,Eastern European States
Croatia ,Eastern European States
Czechia ,Eastern European States
Estonia ,Eastern European States
Georgia ,Eastern European States
Hungary ,Eastern European States
Latvia ,Eastern European States
Lithuania ,Eastern European States
Montenegro ,Eastern European States
North Macedonia ,Eastern European States
Poland ,Eastern European States
Republic of Moldova ,Eastern European States
Romania ,Eastern European States
Russian Federation ,Eastern European States
Serbia ,Eastern European States
Slovakia ,Eastern European States
Slovenia ,Eastern European States
Ukraine ,Eastern European States
Antigua and Barbuda ,Latin American and Caribbean States
Argentina ,Latin American and Caribbean States
Bahamas ,Latin American and Caribbean States
Barbados ,Latin American and Caribbean States
Belize ,Latin American and Caribbean States
Bolivia (Plurinational State of) ,Latin American and Caribbean States
Brazil ,Latin American and Caribbean States
Chile ,Latin American and Caribbean States
Colombia ,Latin American and Caribbean States
Costa Rica ,Latin American and Caribbean States
Cuba ,Latin American and Caribbean States
Dominica ,Latin American and Caribbean States
Dominican Republic ,Latin American and Caribbean States
Ecuador ,Latin American and Caribbean States
El Salvador ,Latin American and Caribbean States
Grenada ,Latin American and Caribbean States
Guatemala ,Latin American and Caribbean States
Guyana ,Latin American and Caribbean States
Haiti ,Latin American and Caribbean States
Honduras ,Latin American and Caribbean States
Jamaica ,Latin American and Caribbean States
Mexico ,Latin American and Caribbean States
Nicaragua ,Latin American and Caribbean States
Panama ,Latin American and Caribbean States
Paraguay ,Latin American and Caribbean States
Peru ,Latin American and Caribbean States
Saint Kitts and Nevis ,Latin American and Caribbean States
Saint Lucia ,Latin American and Caribbean States
Saint Vincent and the Grenadines ,Latin American and Caribbean States
Suriname ,Latin American and Caribbean States
Trinidad and Tobago ,Latin American and Caribbean States
Uruguay ,Latin American and Caribbean States
Venezuela (Bolivarian Republic of) ,Latin American and Caribbean States
Andorra ,Western European and other States
Australia ,Western European and other States
Austria ,Western European and other States
Belgium ,Western European and other States
Canada ,Western European and other States
Denmark ,Western European and other States
Finland ,Western European and other States
France ,Western European and other States
Germany ,Western European and other States
Greece ,Western European and other States
Iceland ,Western European and other States
Ireland ,Western European and other States
Israel,Western European and other States
Italy ,Western European and other States
Liechtenstein ,Western European and other States
Luxembourg ,Western European and other States
Malta ,Western European and other States
Monaco ,Western European and other States
Netherlands ,Western European and other States
New Zealand ,Western European and other States
Norway ,Western European and other States
Portugal ,Western European and other States
San Marino ,Western European and other States
Spain ,Western European and other States
Sweden ,Western European and other States
Switzerland ,Western European and other States
Türkiye,Western European and other States
United Kingdom of Great Britain and Northern Ireland ,Western European and other States
United States of America,Western European and other States